UF,Cidade1,Cidade2,Estado1,Estado2,Ida,Volta,Total,pass.km
001,ANAPOLIS,GO,CUIABA,MT,1945,1632,3577,3604789
002,ANAPOLIS,GO,PALMAS,TO,442,450,892,726891
003,BRASILIA,DF,ANAPOLIS,GO,46779,56056,102835,16484451
004,BRASILIA,DF,CAMPO GRANDE,MS,3188,4032,7220,10383787
005,BRASILIA,DF,CUIABA,MT,13151,11354,24505,28230814
006,BRASILIA,DF,GOIANIA,GO,206827,217989,424816,89022711
007,BRASILIA,DF,PALMAS,TO,41,36,77,74012
008,BRASILIA,DF,RONDONOPOLIS,MT,2172,2255,4427,4155625
009,CAMPO GRANDE,MS,CUIABA,MT,31264,29091,60355,42924476
010,CAMPO GRANDE,MS,GOIANIA,GO,9074,8972,18046,16885857
011,CAMPO GRANDE,MS,PALMAS,TO,698,696,1394,2490799
012,CAMPO GRANDE,MS,RONDONOPOLIS,MT,14120,15736,29856,14898144
013,CUIABA,MT,GOIANIA,GO,17744,17747,35491,33829292
014,GOIANIA,GO,PALMAS,TO,1497,1446,2943,2514426
015,GOIANIA,GO,RONDONOPOLIS,MT,8875,9190,18065,13307362
016,RONDONOPOLIS,MT,ANAPOLIS,GO,229,272,501,396992
017,ARACAJU,SE,CAMPINA GRANDE,PB,2977,3189,6166,3552039
018,ARACAJU,SE,CARUARU,PE,5196,5303,10499,4508767
019,ARACAJU,SE,ITABUNA,BA,3575,4875,8450,5898523
020,ARACAJU,SE,JOAO PESSOA,PB,5337,4930,10267,6221802
021,ARACAJU,SE,JUAZEIRO DO NORTE,CE,783,766,1549,1077175
022,ARACAJU,SE,MACEIO,AL,40857,41471,82328,23582403
023,ARACAJU,SE,NATAL,RN,5184,4700,9884,8434005
024,CAMPINA GRANDE,PB,CARUARU,PE,9318,9227,18545,2757642
025,CAMPINA GRANDE,PB,ITABUNA,BA,338,20,358,434379
026,CAMPINA GRANDE,PB,JUAZEIRO DO NORTE,CE,2381,3050,5431,2767638
027,CAMPINA GRANDE,PB,PETROLINA,PE,1955,1941,3896,3052126
028,CARUARU,PE,JOAO PESSOA,PB,286,271,557,136187
029,CARUARU,PE,JUAZEIRO,BA,3706,3484,7190,4591534
030,CARUARU,PE,JUAZEIRO DO NORTE,CE,1907,1675,3582,1939295
031,CARUARU,PE,MACEIO,AL,11092,11219,22311,4227935
032,CARUARU,PE,NATAL,RN,2584,2810,5394,2293529
033,CARUARU,PE,SAO LUIS,MA,2447,2386,4833,6878809
034,CARUARU,PE,TERESINA,PI,851,802,1653,1648702
035,CRATO,CE,CARUARU,PE,10,9,19,10418
036,CRATO,CE,JOAO PESSOA,PB,739,683,1422,907663
037,CRATO,CE,JUAZEIRO,BA,1645,1598,3243,1124414
038,CRATO,CE,MOSSORO,RN,5,4,9,4052
039,CRATO,CE,NATAL,RN,1182,1108,2290,1523691
